Train ID:,Line,Destination,Service Day,Departure Timing,Stations Stopped at En Route,Service Class,Expected Travel Time Range (Mins),Distance Covered (Miles)
6305,M&E,Summit,Weekday,AM,6,Express,46-50,21-25
6307,M&E,Summit,Weekday,AM,9,Semi-Local,46-50,21-25
6607,M&E,Dover,Weekday,AM,17,Semi-Local,86-90,41-45
6611,M&E,Dover,Weekday,AM,16,Semi-Local,86-90,41-45
6613,M&E,Dover,Weekday,AM,19,Local,91-95,41-45
6315,M&E,Summit,Weekday,AM,9,Semi-Local,51-55,21-25
6617,M&E,Dover,Weekday,AM,13,Express,81-85,41-45
6317,M&E,Summit,Weekday,AM,9,Semi-Local,46-50,21-25
6619,M&E,Dover,Weekday,AM,17,Semi-Local,86-90,41-45
6621,M&E,Dover,Weekday,AM,16,Semi-Local,86-90,41-45
6625,M&E,Dover,Weekday,AM,16,Semi-Local,86-90,41-45
6627,M&E,Dover,Weekday,PM,16,Semi-Local,86-90,41-45
6631,M&E,Dover,Weekday,PM,17,Semi-Local,91-95,41-45
8935,M&E,Dover,Weekday Extra,PM,15,Semi-Local,91-95,41-45
6635,M&E,Dover,Weekday,PM,18,Local,91-95,41-45
6339,M&E,Summit,Weekday,PM,7,Express,41-45,21-25
6639,M&E,Dover,Weekday,PM,10,Express,71-75,41-45
6341,M&E,Summit,Weekday,PM,10,Local,46-50,21-25
8941,M&E,Dover,Weekday Extra,PM,11,Express,81-85,41-45
6641,M&E,Dover,Weekday,PM,10,Express,71-75,41-45
6343,M&E,Summit,Weekday,PM,10,Local,46-50,21-25
6643,M&E,Dover,Weekday,PM,11,Express,81-85,41-45
6647,M&E,Dover,Weekday,PM,11,Express,81-85,41-45
6431,M&E,Gladstone,Weekday,PM,16,Express,96-100,41-45
6651,M&E,Dover,Weekday,PM,13,Express,86-90,41-45
6653,M&E,Dover,Weekday,PM,10,Express,81-85,41-45
6437,M&E,Gladstone,Weekday,PM,15,Express,91-95,41-45
6355,M&E,Summit,Weekday,PM,8,Express,46-50,21-25
6655,M&E,Dover,Weekday,PM,10,Express,81-85,41-45
6359,M&E,Summit,Weekday,PM,8,Express,51-55,21-25
6659,M&E,Dover,Weekday,PM,10,Express,81-85,41-45
6363,M&E,Summit,Weekday,PM,7,Express,46-50,21-25
6663,M&E,Dover,Weekday,PM,11,Express,76-80,41-45
6667,M&E,Dover,Weekday,PM,15,Semi-Local,86-90,41-45
6671,M&E,Dover,Weekday,PM,17,Semi-Local,91-95,41-45
6675,M&E,Dover,Weekday,PM,16,Semi-Local,91-95,41-45
6677,M&E,Dover,Weekday,PM,20,Semi-Local,91-95,41-45
6679,M&E,Dover,Weekday,PM,16,Semi-Local,91-97,41-45
6683,M&E,Dover,Weekday,Late Night,17,Semi-Local,91-95,41-45
6601,M&E,Dover,Weekday,Late Night,19,Local,91-95,41-45
8911,M&E,Dover,Weekend/Holiday Extra,AM,19,Local,101-105,41-45
6913,M&E,Dover,Weekend/Holiday,AM,19,Local,101-105,41-45
6915,M&E,Dover,Weekend/Holiday,AM,18,Local,101-105,41-45
6917,M&E,Dover,Weekend/Holiday,AM,18,Local,101-105,41-45
6919,M&E,Dover,Weekend/Holiday,AM,19,Local,101-105,41-45
6921,M&E,Dover,Weekend/Holiday,AM,18,Local,101-105,41-45
6923,M&E,Dover,Weekend/Holiday,PM,18,Local,101-105,41-45
6925,M&E,Dover,Weekend/Holiday,PM,19,Local,101-105,41-45
6927,M&E,Dover,Weekend/Holiday,PM,18,Local,101-105,41-45
6929,M&E,Dover,Weekend/Holiday,PM,18,Local,101-105,41-45
6931,M&E,Dover,Weekend/Holiday,PM,19,Local,101-105,41-45
8431,M&E,Peapack,Weekend/Holiday Extra,PM,19,Semi-Local,96-100,41-45
6933,M&E,Dover,Weekend/Holiday,PM,19,Local,101-105,41-45
8933,M&E,Dover,Weekend/Holiday Extra,PM,16,Semi-Local,91-95,41-45
8433,M&E,Peapack,Weekend/Holiday,PM,19,Semi-Local,96-100,41-45
6935,M&E,Dover,Weekend/Holiday,PM,19,Local,101-105,41-45
6937,M&E,Dover,Weekend/Holiday,PM,19,Local,101-105,41-45
6939,M&E,Dover,Weekend/Holiday,PM,18,Local,101-105,41-45
6941,M&E,Dover,Weekend/Holiday,PM,18,Local,101-105,41-45
6943,M&E,Dover,Weekend/Holiday,PM,19,Local,101-105,41-45
6945,M&E,Dover,Weekend/Holiday,PM,18,Local,101-105,41-45
6907,M&E,Dover,Weekend/Holiday,Late Night,19,Local,96-100,41-45
6909,M&E,Dover,Weekend/Holiday,Late Night,20,Local,101-105,41-45
6209,MOBO,MSU,Weekday,AM,4,Express,46-50,21-25
6213,MOBO,MSU,Weekday,AM,11,Local,51-55,21-25
6215,MOBO,MSU,Weekday,AM,11,Local,51-55,21-25
6219,MOBO,MSU,Weekday,AM,12,Local,51-55,21-25
6227,MOBO,MSU,Weekday,AM,11,Local,46-50,21-25
6231,MOBO,MSU,Weekday,AM,12,Local,56-60,21-25
6233,MOBO,MSU,Weekday,AM,12,Local,56-60,21-25
6237,MOBO,MSU,Weekday,AM,12,Local,56-60,21-25
6241,MOBO,MSU,Weekday,PM,12,Local,56-60,21-25
6245,MOBO,MSU,Weekday,PM,12,Local,56-60,21-25
6251,MOBO,MSU,Weekday,PM,12,Local,51-55,21-25
6253,MOBO,MSU,Weekday,PM,12,Local,51-55,21-25
6263,MOBO,MSU,Weekday,PM,11,Local,46-50,21-25
6273,MOBO,MSU,Weekday,PM,11,Local,51-55,21-25
6279,MOBO,MSU,Weekday,PM,11,Local,51-55,21-25
6283,MOBO,MSU,Weekday,PM,12,Local,51-55,21-25
6291,MOBO,MSU,Weekday,PM,12,Local,51-55,21-25
6293,MOBO,MSU,Weekday,PM,12,Local,51-55,21-25
6295,MOBO,MSU,Weekday,PM,12,Local,51-55,21-25
6297,MOBO,MSU,Weekday,PM,12,Local,51-55,21-25
6299,MOBO,MSU,Weekday,PM,12,Local,51-55,21-25
6201,MOBO,MSU,Weekday,Late Night,12,Local,46-50,21-25
9225,MOBO,MSU,Weekend/Holiday Extra,PM,11,Local,46-50,21-25
9227,MOBO,MSU,Weekend/Holiday Extra,PM,11,Local,46-50,21-25
9229,MOBO,MSU,Weekend/Holiday Extra,PM,11,Local,46-50,21-25
3809,NEC,Trenton,Weekday,AM,14,Local,96-100,56-60
3209,NJCL,Long Branch,Weekday,AM,16,Local,96-100,51-55
3813,NEC,Trenton,Weekday,AM,15,Local,96-100,55-60
3215,NJCL,Long Branch-BH,Weekday,AM,17,Local,151-155,71-75
3701,NEC,Jersey Avenue,Weekday,AM,6,Express,51-55,31-35
3503,NJCL,South Amboy,Weekday,AM,6,Express,51-55,26-30
3815,NEC,Trenton,Weekday,AM,13,Local,86-90,56-60
3217,NJCL,Long Branch,Weekday,AM,16,Local,96-100,51-55
3705,NEC,Jersey Avenue,Weekday,AM,4,Express,46-50,31-35
3817,NEC,Trenton,Weekday,AM,14,Local,96-100,55-60
3505,NJCL,South Amboy,Weekday,AM,5,Express,46-50,26-30
3221,NJCL,Long Branch-BH,Weekday,AM,26,Local,146-150,71-75
3821,NEC,Trenton,Weekday,AM,13,Local,91-95,56-60
3709,NEC,Jersey Avenue,Weekday,AM,7,Express,51-55,31-35
3223,NJCL,Long Branch-BH,Weekday,AM,25,Local,141-145,71-75
3823,NEC,Trenton,Weekday,AM,12,Semi-Local,91-95,56-60
3713,NEC,Jersey Avenue,Weekday,AM,9,Semi-Local,61-65,31-35
3825,NEC,Trenton,Weekday,AM,14,Local,91-95,55-60
3827,NEC,Trenton,Weekday,AM,14,Local,91-95,55-60
3915,NEC,Trenton,Weekday,AM,11,Semi-Local,91-95,55-60
3227,NJCL,Long Branch,Weekday,AM,15,Local,96-100,51-55
3917,NEC,Trenton,Weekday,AM,7,Express,71-75,55-60
3829,NEC,Trenton,Weekday,AM,13,Local,86-90,55-60
3831,NEC,Trenton,Weekday,AM,15,Local,96-100,55-60
3231,NJCL,Long Branch-BH,Weekday,AM,25,Local,141-145,71-75
3833,NEC,Trenton,Weekday,AM,13,Local,86-90,55-60
3835,NEC,Trenton,Weekday,AM,14,Local,91-95,55-60
3235,NJCL,Long Branch-BH,Weekday,AM,25,Local,146-150,71-75
3837,NEC,Trenton,Weekday,AM,14,Local,91-95,55-60
3839,NEC,Trenton,Weekday,AM,14,Local,96-100,55-60
3239,NJCL,Long Branch,Weekday,AM,17,Local,96-100,51-55
3841,NEC,Trenton,Weekday,PM,15,Local,91-95,56-60
3843,NEC,Trenton,Weekday,PM,14,Local,91-95,56-60
3243,NJCL,Long Branch-BH,Weekday,PM,25,Local,146-150,71-75
3845,NEC,Trenton,Weekday,PM,14,Local,91-95,56-60
8245,NJCL,Long Branch,Weekday Extra,PM,13,Semi-Local,91-95,51-55
3847,NEC,Trenton,Weekday,PM,15,Local,96-100,56-60
3247,NJCL,Long Branch,Weekday,PM,14,Semi-Local,96-100,51-55
8849,NEC,Trenton,Weekday Extra,PM,7,Express,76-80,56-60
3849,NEC,Trenton,Weekday,PM,14,Local,96-100,56-60
8851,NEC,Trenton,Weekday Extra,PM,8,Express,81-85,56-60
3719,NEC,Jersey Avenue,Weekday,PM,12,Local,65-70,31-35
8249,NJCL,Long Branch,Weekday Extra,PM,12,Express,96-100,51-55
3251,NJCL,Long Branch-BH,Weekday,PM,22,Semi-Local,136-140,51-55
3937,NEC,Trenton,Weekday,PM,7,Express,76-80,56-60
3753,NJCL,Jersey Avenue,Weekday,PM,11,Local,65-70,31-35
8353,NJCL,Bay Head,Weekday Extra,PM,20,Express,126-130,71-75
8855,NEC,Trenton,Weekday Extra,PM,5,Super-Express,71-75,56-60
3509,NJCL,South Amboy,Weekday,PM,11,Local,61-65,31-35
3855,NEC,Trenton,Weekday,PM,10,Express,81-85,56-60
3857,NEC,Trenton,Weekday,PM,12,Semi-Local,86-90,56-60
3255,NJCL,Long Branch-BH,Weekday,PM,18,Express,126-130,71-75
3721,NEC,Jersey Avenue,Weekday,PM,8,Express,61-65,31-35
3595,NJCL,South Amboy,Weekday,PM,11,Local,66-70,26-30
3943,NEC,Trenton,Weekday,PM,5,Super-Express,71-75,56-60
3723,NEC,Jersey Avenue,Weekday,PM,7,Express,61-65,31-35
3361,NJCL,Bay Head,Weekday,PM,21,Express,126-130,71-75
3861,NEC,Trenton,Weekday,PM,14,Local,91-95,56-60
3947,NEC,Trenton,Weekday,PM,5,Super-Express,71-75,56-60
3165,NEC,Jersey Avenue,Weekday,PM,8,Express,61-65,31-35
3363,NJCL,Bay Head,Weekday,PM,19,Express,120-126,71-75
3949,NEC,Trenton,Weekday,PM,4,Super-Express,71-75,56-60
3511,NJCL,South Amboy,Weekday,PM,10,Local,61-65,26-30
3725,NEC,Jersey Avenue,Weekday,PM,7,Express,56-60,31-35
3951,NEC,Trenton,Weekday,PM,5,Super-Express,71-75,56-60
3265,NJCL,Long Branch,Weekday,PM,13,Express,91-95,51-55
3867,NEC,Trenton,Weekday,PM,12,Semi-Local,96-100,56-60
3513,NJCL,South Amboy,Weekday,PM,11,Local,61-65,26-30
3267,NJCL,Long Branch-BH,Weekday,PM,18,Express,131-135,71-75
3727,NEC,Jersey Avenue,Weekday,PM,7,Express,55-60,31-35
3953,NEC,Trenton,Weekday,PM,5,Super-Express,71-75,56-60
3871,NEC,Trenton,Weekday,PM,11,Express,91-95,56-60
3271,NJCL,Long Branch,Weekday,PM,17,Local,106-110,51-55
3957,NEC,Trenton,Weekday,PM,4,Super-Express,71-75,56-60
3373,NJCL,Bay Head,Weekday,PM,19,Express,126-130,71-75
3959,NEC,Trenton,Weekday,PM,7,Express,81-85,56-60
3873,NEC,Trenton,Weekday,PM,11,Semi-Local,86-90,56-60
3515,NJCL,South Amboy,Weekday,PM,11,Local,71-75,26-30
3275,NJCL,Long Branch-BH,Weekday,PM,19,Express,131-135,71-75
3175,NEC,Jersey Avenue,Weekday,PM,8,Express,55-60,31-35
3961,NEC,Trenton,Weekday,PM,6,Express,76-80,56-60
3875,NEC,Trenton,Weekday,PM,15,Local,106-110,56-60
3279,NEC,Long Branch-BH,Weekday,PM,23,Semi-Local,136-140,71-75
3963,NEC,Trenton,Weekday,PM,8,Express,81-85,56-60
3733,NEC,Jersey Avenue,Weekday,PM,8,Express,61-65,31-35
3281,NJCL,Long Branch,Weekday,PM,16,Local,91-95,51-55
3881,NEC,Trenton,Weekday,PM,14,Local,91-95,56-60
3965,NEC,Trenton,Weekday,PM,6,Express,76-80,56-60
3883,NEC,Trenton,Weekday,PM,15,Local,96-100,56-60
3969,NEC,Trenton,Weekday,PM,7,Express,76-80,56-60
3283,NJCL,Long Branch-BH,Weekday,PM,23,Semi-Local,136-140,71-75
3885,NEC,Trenton,Weekday,PM,11,Express,86-90,56-60
3285,NJCL,Long Branch,Weekday,PM,17,Local,96-100,51-55
3887,NEC,Trenton,Weekday,PM,12,Semi-Local,86-90,56-60
3889,NEC,Trenton,Weekday,PM,12,Semi-Local,91-95,56-60
3289,NJCL,Long Branch,Weekday,PM,25,Local,96-100,51-55
3737,NEC,Jersey Avenue,Weekday,PM,12,Local,71-75,31-35
3891,NEC,Trenton,Weekday,PM,12,Semi-Local,91-95,56-60
3293,NJCL,Long Branch-BH,Weekday,PM,26,Local,146-150,71-75
3893,NEC,Trenton,Weekday,PM,12,Semi-Local,86-90,56-60
3895,NEC,Trenton,Weekday,PM,15,Local,96-100,56-60
3297,NJCL,Long Branch-BH,Weekday,PM,25,Local,146-150,71-75
3201,NJCL,Long Branch,Weekday,Late Night,17,Local,96-100,51-55
3897,NEC,Trenton,Weekday,Late Night,15,Local,96-100,56-60
3205,NJCL,Long Branch,Weekday,Late Night,16,Local,91-95,51-55
3805,NEC,Trenton,Weekday,Late Night,11,Local,101-105,56-60
7813,NEC,Trenton,Weekend/Holiday,AM,14,Local,91-95,56-60
7217,NJCL,Long Branch,Weekend/Holiday,AM,17,Local,96-100,51-55
7817,NEC,Trenton,Weekend/Holiday,AM,13,Local,91-95,56-60
7221,NJCL,Long Branch-BH,Weekend/Holiday,AM,25,Local,146-150,71-75
7821,NEC,Trenton,Weekend/Holiday,AM,13,Local,91-95,56-60
7225,NJCL,Long Branch,Weekend/Holiday,AM,16,Local,96-100,51-55
7625,NJCL,Rahway,Weekend/Holiday,AM,7,Local,41-45,21-25
7825,NEC,Trenton,Weekend/Holiday,AM,13,Local,91-95,56-60
7229,NJCL,Long Branch-BH,Weekend/Holiday,AM,25,Local,146-150,71-75
7629,NJCL,Rahway,Weekend/Holiday,AM,7,Local,41-45,21-25
7829,NEC,Trenton,Weekend/Holiday,AM,13,Local,91-95,56-60
7233,NJCL,Long Branch,Weekend/Holiday,AM,17,Local,96-100,51-55
7833,NEC,Trenton,Weekend/Holiday,AM,13,Local,91-95,56-60
7237,NJCL,Long Branch-BH,Weekend/Holiday,AM,25,Local,146-150,71-75
7637,NJCL,Rahway,Weekend/Holiday,AM,7,Local,41-45,21-25
7837,NEC,Trenton,Weekend/Holiday,AM,13,Local,91-95,56-60
7839,NEC,Rahway,Weekend/Holiday,PM,6,Local,36-40,21-25
7241,NJCL,Long Branch,Weekend/Holiday,PM,13,Semi-Local,91-95,51-55
7841,NEC,Trenton,Weekend/Holiday,PM,14,Local,101-105,56-60
8841,NEC,Trenton,Weekend/Holiday Extra,PM,9,Express,86-90,56-60
7245,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local,146-150,71-75
7845,NEC,Trenton,Weekend/Holiday,PM,14,Local,91-95,56-60
7847,NEC,Trenton,Weekend/Holiday,PM,10,Express,96-100,56-60
7249,NJCL,Long Branch,Weekend/Holiday,PM,16,Local,96-100,51-55
7849,NEC,Trenton,Weekend/Holiday,PM,14,Local,91-95,56-60
7851,NEC,Trenton,Weekend/Holiday,PM,10,Express,86-90,56-60
7253,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local,146-150,71-75
7853,NEC,Trenton,Weekend/Holiday,PM,14,Local,91-95,56-60
7855,NEC,Trenton,Weekend/Holiday,PM,10,Express,86-90,56-60
7657,NJCL,Rahway,Weekend/Holiday,PM,7,Local,41-45,21-25
7257,NJCL,Long Branch,Weekend/Holiday,PM,16,Local,96-100,51-55
7857,NEC,Trenton,Weekend/Holiday,PM,13,Local,91-95,56-60
8325,NJCL,Bay Head,Weekend/Holiday Extra,PM,22,Express,126-130,71-75
7859,NEC,Trenton,Weekend/Holiday,PM,10,Express,91-95,56-60
7661,NJCL,Rahway,Weekend/Holiday,PM,6,Local,36-40,21-25
7261,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local,146-150,71-75
7861,NEC,Trenton,Weekend/Holiday,PM,13,Local,91-95,56-60
8861,NEC,Trenton,Weekend/Holiday Extra,PM,9,Express,76-80,56-60
7863,NEC,Trenton,Weekend/Holiday,PM,9,Express,81-85,56-60
7665,NJCL,Rahway,Weekend/Holiday,PM,6,Local,36-40,21-25
7265,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local,146-150,71-75
7865,NEC,Trenton,Weekend/Holiday,PM,13,Local,91-95,56-60
8865,NEC,Trenton,Weekend/Holiday Extra,PM,9,Express,86-90,56-60
7867,NEC,Trenton,Weekend/Holiday,PM,10,Express,81-85,56-60
7269,NJCL,Long Branch,Weekend/Holiday,PM,17,Local,96-100,51-55
7869,NEC,Trenton,Weekend/Holiday,PM,13,Local,91-95,56-60
7673,NJCL,Rahway,Weekend/Holiday,PM,6,Local,36-40,21-25
7871,NEC,Trenton,Weekend/Holiday,PM,10,Express,86-90,56-60
7273,NJCL,Long Branch-BH,Weekend/Holiday,PM,23,Local,136-140,71-75
7873,NEC,Trenton,Weekend/Holiday,PM,13,Local,91-95,56-60
7875,NEC,Trenton,Weekend/Holiday,PM,9,Express,81-85,56-60
7277,NJCL,Long Branch-BH,Weekend/Holiday,PM,24,Local,141-145,71-75
7877,NEC,Trenton,Weekend/Holiday,PM,14,Local,91-95,56-60
7879,NEC,Trenton,Weekend/Holiday,PM,9,Express,81-85,56-60
7281,NJCL,Long Branch,Weekend/Holiday,PM,16,Local,96-100,51-55
7881,NEC,Trenton,Weekend/Holiday,PM,14,Local,91-95,56-60
7883,NEC,Trenton,Weekend/Holiday,PM,9,Express,81-85,56-60
7285,NJCL,Long Branch-BH,Weekend/Holiday,PM,24,Local,141-145,71-75
7885,NEC,Trenton,Weekend/Holiday,PM,14,Local,96-100,56-60
7201,NJCL,Long Branch,Weekend/Holiday,Late Night,17,Local,101-145,51-55
7887,NEC,Trenton,Weekend/Holiday,Late Night,15,Local,96-100,56-60
7801,NEC,Trenton,Weekend/Holiday,Late Night,14,Local,96-100,56-60
7205,NJCL,Long Branch-BH,Weekend/Holiday,Late Night,25,Local,146-150,71-75
7805,NEC,Trenton,Weekend/Holiday,Late Night,15,Local,101-105,56-60
